STOP_SIGNAL_TASK task	01/01/1900 11:08:50	Subject ID: 000055417875	Task type: Scanning	
Trial	Trial Category	Trial Start Time (Onset)	Pre-determined/randomised onset	Go Stimulus Presentation Time 	Stimulus Presented	Delay	Stop Stimulus Presentation Time	Response made by subject	Absolute Response Time	Relative Response Time	Response Outcome	Real Jitter	Pre-determined Jitter	Success Rate of Variable Delay Stop Trials	Scanner Pulse	
220	GO	414943	414943	414946	RightArrow			C	415589	643	GO_SUCCESS	911.25	896		415933	
221	GO	416839	416839	416842	LeftArrow			B	417237	395	GO_SUCCESS	891	867		418133	
222	STOP_VAR	418706	418706	418709	LeftArrow	250	418962				STOP_SUCCESS	855.25	864	48.65	420333	
223	GO	420570	420570	420573	RightArrow			C	420933	360	GO_SUCCESS	862	1024		420333	
224	GO	422594	422594	422597	LeftArrow			B	422973	376	GO_SUCCESS	1013	786		422598	
225	GO	424380	424380	424383	RightArrow			C	424749	366	GO_SUCCESS	780.5	933		424741	
226	STOP_VAR	426313	426313	426316	RightArrow	200	426519	C	426669	353	STOP_FAILURE	921.75	859	47.37	426941	
227	GO	428172	428172	428175	LeftArrow			B	428629	454	GO_SUCCESS	1348.25	1082		429141	
228	GO	430254	430254	430257	RightArrow			C	430605	348	GO_SUCCESS	1070.5	795		431341	
229	GO	432049	432049	432052	RightArrow			C	432413	361	GO_SUCCESS	789.25	1100		433541	
230	GO	434149	434149	434152	LeftArrow			B	434517	365	GO_SUCCESS	1089	777		433541	
231	GO	435926	435926	435930	LeftArrow			B	436405	475	GO_SUCCESS	771.75	900		435741	
232	GO	437826	437826	437829	LeftArrow			B	438285	456	GO_SUCCESS	888	990		437941	
233	STOP_VAR	439816	439816	439819	RightArrow	150	439972				STOP_SUCCESS	984.5	934	48.72	440141	
234	GO	441750	441750	441753	LeftArrow			B	442245	492	GO_SUCCESS	925.5	815		442349	
235	GO	443565	443565	443568	LeftArrow			B	444117	549	GO_SUCCESS	809.25	895		444541	
236	GO	445460	445460	445463	LeftArrow			B	446045	582	GO_SUCCESS	883.25	1079		446749	
237	GO	447539	447539	447542	LeftArrow			B	448213	671	GO_SUCCESS	1073.25	1004		448940	
238	GO	449543	449543	449546	LeftArrow			B	449957	411	GO_SUCCESS	993	746		448940	
239	STOP_VAR	451289	451289	451292	RightArrow	100	451395				STOP_SUCCESS	740.5	927	50.00	451293	
240	GO	453216	453216	453219	RightArrow			C	453573	354	GO_SUCCESS	918.25	1094		453349	
241	GO	455310	455310	455313	RightArrow			C	455781	468	GO_SUCCESS	1088.5	941		455548	
242	GO	457251	457251	457254	LeftArrow			B	457661	407	GO_SUCCESS	929.75	799		457748	
243	GO	459050	459050	459053	LeftArrow			B	459421	368	GO_SUCCESS	793.25	908		459948	
244	GO	460958	460958	460961	LeftArrow			B	461261	300	GO_SUCCESS	897	742		462148	
245	GO	462700	462700	462703	RightArrow			C	463197	494	GO_SUCCESS	736.5	931		464348	
246	GO	464631	464631	464634	LeftArrow			B	465021	387	GO_SUCCESS	919.25	858		464348	
247	STOP_VAR	466489	466489	466492	LeftArrow	100	466595				STOP_SUCCESS	852.5	852	51.22	466548	
248	GO	468341	468341	468344	RightArrow			C	468820	476	GO_SUCCESS	844	944		468748	
249	GO	470285	470285	470289	RightArrow			C	470725	436	GO_SUCCESS	938	862		470956	
250	GO	472147	472147	472150	LeftArrow			B	472501	351	GO_SUCCESS	849.5	812		473148	
251	GO	473959	473959	473962	LeftArrow			B	474669	707	GO_SUCCESS	807	1092		475356	
252	GO	476051	476051	476054	LeftArrow			B	476509	455	GO_SUCCESS	1081	791		477557	
253	GO	477842	477842	477845	LeftArrow			B	478332	487	GO_SUCCESS	785.25	907		477557	
